locationid,stationname,chinesename,latitude,longitude,pm25,pm10,o3,no2,so2,co,temperature,dewpoint,pressure,humidity,wind,est_time
354,Taian,,36.200502,117.093682,95,57,17,15,13,13,3,3,0,99,14,20150318090000
355,"City Environmental Monitoring Station, Weihai",,37.513939,122.067058,112,63,36,8,7,7,4,1,0,76,5,20150318090000
356,"Woodworking Factory, Weihai",,37.325455,122.160777,134,67,41,7,6,6,4,1,0,76,5,20150318090000
357,"Lantian Hotel, Weihai",,37.514641,122.146276,55,20,52,22,4,4,7,6,0,91,6,20150318090000
358,"Zhang village government, Weihai",,37.485561,122.049436,63,23,40,6,5,5,-,-,0,-,-,20150318090000
359,"Gao District Bank, Weihai",,37.534919,122.056294,76,31,39,6,4,2,9,8,0,93,2,20150318090000
360,"Huxia technical school, Weihai",,37.427951,122.130811,87,47,54,29,7,5,9,8,0,93,2,20150318090000
361,Weihai,,37.5141,122.125477,155,69,32,15,6,7,4,2,0,83,4,20150318090000
362,"City governement square, Rizhao",,35.4075,119.526008,102,51,43,13,7,9,-,-,0,-,-,20150318090000
363,"Port Authority, Rizhao",,35.381297,119.55396,93,58,43,24,5,5,9,7,1016,83,2,20150318090000
